PParent,Parent,Device ID,ObjectName,x,y,z,stripSize,rendererID,lightList,lightRing,lightRingID,SpeakerID
Group 13,Inner_Section,hb-b827eb9b441c,2_1 LED 2,126.7948,27.90005,239.3383,16,229,153,0,24,
Group 13,Inner_Section,hb-b827eb9b441c,2_1 LED 3,87.08049,34.60007,250.4929,16,230,154,1,25,
Group 13,Inner_Section,hb-b827eb9b441c,2_1 LED 4,123.4171,0.000061,221.9821,16,231,155,0,25,
Group 13,Inner_Section,hb-b827eb9b441c,2_1 Speaker 1,113.9843,21.20007,232.5339,16,232,,,,76
Group 13,Inner_Section,hb-b827eb9b441c,2_1 Speaker 2,94.07622,40.70007,234.4492,16,233,,,,77
Group 14,Outer_Section_1,hb-b827eb0bfadb,2_1 LED 1,0.04147339,149.2251,194.9061,16,234,156,5,26,
Group 14,Outer_Section_1,hb-b827eb0bfadb,2_1 LED 2,7.085632,98.7251,195.8166,16,235,157,4,26,
Group 14,Outer_Section_1,hb-b827eb0bfadb,2_1 LED 3,25.79102,106.925,197.7008,16,236,158,3,26,
Group 14,Outer_Section_1,hb-b827eb0bfadb,2_1 LED 4,50.92422,50.82507,199.6295,16,237,159,2,26,
Group 14,Outer_Section_1,hb-b827eb0bfadb,2_1 Speaker 1,41.13351,115.6251,199.0452,16,238,,,,78
Group 14,Outer_Section_1,hb-b827eb0bfadb,2_1 Speaker 2,16.52786,190.1251,196.8682,16,239,,,,79
Group 14,Outer_Section_2,hb-b827eb06891c,2_1 LED 1,7.548248,170.5251,154.8322,16,240,160,5,27,
Group 14,Outer_Section_2,hb-b827eb06891c,2_1 LED 2,14.29193,139.5251,157.0621,16,241,161,4,27,
Group 14,Outer_Section_2,hb-b827eb06891c,2_1 LED 3,32.30054,105.6251,162.4593,16,242,162,3,27,
Group 14,Outer_Section_2,hb-b827eb06891c,2_1 LED 4,56.612,54.22507,169.1191,16,243,163,2,27,
Group 14,Outer_Section_2,hb-b827eb06891c,2_1 Speaker 1,46.72653,85.7251,166.574,16,244,,,,80
Group 14,Outer_Section_2,hb-b827eb06891c,2_1 Speaker 2,23.36334,147.5251,159.8852,16,245,,,,81
Group 14,Inner_Section,hb-b827ebdfa72c,2_1 LED 1,87.18076,69.80005,177.9748,16,246,164,1,26,
Group 14,Inner_Section,hb-b827ebdfa72c,2_1 LED 2,123.5615,49.80002,206.3646,16,247,165,0,26,
Group 14,Inner_Section,hb-b827ebdfa72c,2_1 LED 3,82.49948,15.00006,202.4193,16,248,166,1,27,
Group 14,Inner_Section,hb-b827ebdfa72c,2_1 LED 4,126.6817,10.90002,188.9602,16,249,167,0,27,
Group 14,Inner_Section,hb-b827ebdfa72c,2_1 Speaker 1,114.0741,31.90002,195.3919,16,250,,,,82
Group 14,Inner_Section,hb-b827ebdfa72c,2_1 Speaker 2,94.81851,58.60004,189.9862,16,251,,,,83
Group 15,Outer_Section_1,hb-b827eb814557,2_1 LED 1,21.41821,175.325,119.1449,16,252,168,5,28,
Group 15,Outer_Section_1,hb-b827eb814557,2_1 LED 2,27.65781,147.325,122.5387,16,253,169,4,28,
Group 15,Outer_Section_1,hb-b827eb814557,2_1 LED 3,44.41937,65.72504,131.0527,16,254,170,3,28,
Group 15,Outer_Section_1,hb-b827eb814557,2_1 LED 4,67.15878,93.02502,141.9302,16,255,171,2,28,
Group 15,Outer_Section_1,hb-b827eb814557,2_1 Speaker 1,58.24023,106.525,137.8487,16,256,,,,84
Group 15,Outer_Section_1,hb-b827eb814557,2_1 Speaker 2,36.08246,170.425,126.9301,16,257,,,,85
Group 15,Outer_Section_2,hb-b827eb8dce19,2_1 LED 1,42.89426,192.225,84.48892,16,258,172,5,29,
Group 15,Outer_Section_2,hb-b827eb8dce19,2_1 LED 2,48.37704,85.72504,89.00433,16,259,173,4,29,
Group 15,Outer_Section_2,hb-b827eb8dce19,2_1 LED 3,63.21996,124.325,100.5424,16,260,174,3,29,
Group 15,Outer_Section_2,hb-b827eb8dce19,2_1 LED 4,83.48398,37.52505,115.5348,16,261,175,2,29,
Group 15,Outer_Section_2,hb-b827eb8dce19,2_1 Speaker 1,75.18542,85.72504,109.5905,16,262,,,,86
Group 15,Outer_Section_2,hb-b827eb8dce19,2_1 Speaker 2,55.81607,151.8251,94.9137,16,263,,,,87
Group 15,Inner_Section,hb-b827eb62e221,2_1 LED 1,108.7895,77,134.8351,16,264,176,1,28,
Group 15,Inner_Section,hb-b827eb62e221,2_1 LED 2,132.4581,27.90002,174.45,16,265,177,0,28,
Group 15,Inner_Section,hb-b827eb62e221,2_1 LED 3,95.59407,34.60004,155.9379,16,266,178,1,29,
Group 15,Inner_Section,hb-b827eb62e221,2_1 LED 4,141.6548,0.0000305,159.348,16,267,179,0,29,
Group 15,Inner_Section,hb-b827eb62e221,2_1 Speaker 1,127.5751,21.20004,160.791,16,268,,,,88
Group 15,Inner_Section,hb-b827eb62e221,2_1 Speaker 2,111.5725,40.70004,148.7945,16,269,,,,89
Group 16,Outer_Section_1,hb-b827eb0945e9,2_1 LED 1,68.72005,149.2251,56.22098,16,270,180,5,30,
Group 16,Outer_Section_1,hb-b827eb0945e9,2_1 LED 2,73.3123,98.7251,61.63954,16,271,181,4,30,
Group 16,Outer_Section_1,hb-b827eb0945e9,2_1 LED 3,85.86636,106.9251,75.63368,16,272,182,3,30,
Group 16,Outer_Section_1,hb-b827eb0945e9,2_1 LED 4,103.1407,50.82507,93.9911,16,273,183,2,30,
Group 16,Outer_Section_1,hb-b827eb0945e9,2_1 Speaker 1,96.29889,115.6251,86.96341,16,274,,,,90
Group 16,Outer_Section_1,hb-b827eb0945e9,2_1 Speaker 2,79.58174,190.1251,68.77783,16,275,,,,91
Group 16,Outer_Section_2,hb-b827eb43266a,2_1 LED 1,101.2652,170.5251,31.66339,16,276,184,5,31,
Group 16,Outer_Section_2,hb-b827eb43266a,2_1 LED 2,104.7466,139.5251,37.85446,16,277,185,4,31,
Group 16,Outer_Section_2,hb-b827eb43266a,2_1 LED 3,114.419,105.6251,53.97534,16,278,186,3,31,
Group 16,Outer_Section_2,hb-b827eb43266a,2_1 LED 4,127.8987,54.22507,75.27548,16,279,187,2,31,
Group 16,Outer_Section_2,hb-b827eb43266a,2_1 Speaker 1,122.3079,85.7251,66.73485,16,280,,,,92
Group 16,Outer_Section_2,hb-b827eb43266a,2_1 Speaker 2,109.5485,147.5251,46.05211,16,281,,,,93
Group 16,Inner_Section,hb-b827eb23d05b,2_1 LED 1,144.5233,69.80005,102.414,16,282,188,1,30,
Group 16,Inner_Section,hb-b827eb23d05b,2_1 LED 2,152.2828,49.80002,147.9038,16,283,189,0,30,
Group 16,Inner_Section,hb-b827eb23d05b,2_1 LED 3,124.5956,15.00006,117.325,16,284,190,1,31,
Group 16,Inner_Section,hb-b827eb23d05b,2_1 LED 4,166.314,10.90002,137.144,16,285,191,0,31,
Group 16,Inner_Section,hb-b827eb23d05b,2_1 Speaker 1,152.6638,31.90002,133.4033,16,286,,,,94
Group 16,Inner_Section,hb-b827eb23d05b,2_1 Speaker 2,142.0756,58.60004,116.436,16,287,,,,95
Group 17,Outer_Section_1,hb-b827eb9c66f6,2_1 LED 1,135.5577,175.3251,14.63422,16,288,192,5,32,
Group 17,Outer_Section_1,hb-b827eb9c66f6,2_1 LED 2,137.8824,147.3251,21.34579,16,289,193,4,32,
Group 17,Outer_Section_1,hb-b827eb9c66f6,2_1 LED 3,144.5335,65.7251,38.92996,16,290,194,3,32,
Group 17,Outer_Section_1,hb-b827eb9c66f6,2_1 LED 4,154.01,93.02509,62.28796,16,291,195,2,32,
Group 17,Outer_Section_1,hb-b827eb9c66f6,2_1 Speaker 1,150.1688,106.5251,53.26328,16,292,,,,96
Group 17,Outer_Section_1,hb-b827eb9c66f6,2_1 Speaker 2,141.1498,170.4251,30.26678,16,293,,,,97
Group 17,Outer_Section_2,hb-b827eb11640a,2_1 LED 1,174.7763,192.2251,3.49147,16,294,196,5,33,
Group 17,Outer_Section_2,hb-b827eb11640a,2_1 LED 2,175.7861,85.7251,10.52213,16,295,197,4,33,
Group 17,Outer_Section_2,hb-b827eb11640a,2_1 LED 3,178.9819,124.3251,29.04849,16,296,198,3,33,
Group 17,Outer_Section_2,hb-b827eb11640a,2_1 LED 4,183.857,37.52512,53.77972,16,297,199,2,33,
Group 17,Outer_Section_2,hb-b827eb11640a,2_1 Speaker 1,181.7289,85.7251,43.79617,16,298,,,,98
Group 17,Outer_Section_2,hb-b827eb11640a,2_1 Speaker 2,177.3025,151.8251,19.90085,16,299,,,,99
Group 17,Inner_Section,hb-b827eb1cd432,2_1 LED 1,189.5555,77.00012,85.09106,16,300,200,1,32,
Group 17,Inner_Section,hb-b827eb1cd432,2_1 LED 2,180.3583,27.90009,130.3122,16,301,201,0,32,
Group 17,Inner_Section,hb-b827eb1cd432,2_1 LED 3,165.587,34.6001,91.79651,16,302,202,1,33,
Group 17,Inner_Section,hb-b827eb1cd432,2_1 LED 4,197.3289,0.0000916,125.3475,16,303,203,0,33,
Group 17,Inner_Section,hb-b827eb1cd432,2_1 Speaker 1,185.9517,21.2001,116.9285,16,304,,,,100
Group 17,Inner_Section,hb-b827eb1cd432,2_1 Speaker 2,182.2077,40.7001,97.28207,16,305,,,,101
