PParent,Parent,Device ID,ObjectName,x,y,z,stripSize
Group 4,Outer_Section_2,hb-b827eb5475cb,2_1 LED 4,370.3906,54.22507,170.0102,16
Group 4,Outer_Section_2,hb-b827eb5475cb,2_1 Speaker 1,380.1352,85.7251,166.97,16
Group 4,Outer_Section_2,hb-b827eb5475cb,2_1 Speaker 2,403.5201,147.5251,160.3578,16
Group 4,Inner_Section,hb-b827ebde8d3a,2_1 LED 1,339.7386,69.80005,178.5733,16
Group 4,Inner_Section,hb-b827ebde8d3a,2_1 LED 2,293.8617,49.80002,173.5877,16
Group 4,Inner_Section,hb-b827ebde8d3a,2_1 LED 3,330.8503,15.00006,155.3257,16
Group 4,Inner_Section,hb-b827ebde8d3a,2_1 LED 4,300.371,10.90002,190.0278,16
Group 4,Inner_Section,hb-b827ebde8d3a,2_1 Speaker 1,307.7044,31.90002,177.9224,16
Group 4,Inner_Section,hb-b827ebde8d3a,2_1 Speaker 2,326.9216,58.60004,172.3817,16
Group 5,Outer_Section_1,hb-b827ebf097bb,2_1 LED 1,426.6209,175.3251,193.9719,16
Group 5,Outer_Section_1,hb-b827ebf097bb,2_1 LED 2,419.5293,147.3251,194.3712,16
Group 5,Outer_Section_1,hb-b827ebf097bb,2_1 LED 3,400.7963,65.72507,195.9562,16
Group 5,Outer_Section_1,hb-b827ebf097bb,2_1 LED 4,375.7366,93.02509,198.6788,16
Group 5,Outer_Section_1,hb-b827ebf097bb,2_1 Speaker 1,385.468,106.5251,197.4539,16
Group 5,Outer_Section_1,hb-b827ebf097bb,2_1 Speaker 2,410.0547,170.425,195.0725,16
Group 5,Outer_Section_2,hb-b827eb72a5cb,2_1 LED 1,426.6056,192.2251,234.7427,16
Group 5,Outer_Section_2,hb-b827eb72a5cb,2_1 LED 2,419.567,85.7251,233.7899,16
Group 5,Outer_Section_2,hb-b827eb72a5cb,2_1 LED 3,400.8733,124.3251,231.7938,16
Group 5,Outer_Section_2,hb-b827eb72a5cb,2_1 LED 4,375.752,37.52509,229.7147,16
Group 5,Outer_Section_2,hb-b827eb72a5cb,2_1 Speaker 1,385.9368,85.7251,230.4,16
Group 5,Outer_Section_2,hb-b827eb72a5cb,2_1 Speaker 2,410.1313,151.8251,232.6819,16
Group 5,Inner_Section,hb-b827eb4d7aa7,2_1 LED 1,344.0765,77.00006,226.6269,16
Group 5,Inner_Section,hb-b827eb4d7aa7,2_1 LED 2,303.0986,27.90005,205.4055,16
Group 5,Inner_Section,hb-b827eb4d7aa7,2_1 LED 3,344.1863,34.60007,201.7384,16
Group 5,Inner_Section,hb-b827eb4d7aa7,2_1 LED 4,303.2295,6.10E-05,223.0869,16
Group 5,Inner_Section,hb-b827eb4d7aa7,2_1 Speaker 1,314.4406,21.20007,214.448,16
Group 5,Inner_Section,hb-b827eb4d7aa7,2_1 Speaker 2,334.3617,40.70007,216.2235,16
Group 6,Outer_Section_1,hb-b827eb3f78ba,2_1 LED 1,419.5292,149.2251,272.3722,16
Group 6,Outer_Section_1,hb-b827eb3f78ba,2_1 LED 2,412.7723,98.7251,270.1827,16
Group 6,Outer_Section_1,hb-b827eb3f78ba,2_1 LED 3,394.7317,106.9251,264.8935,16
Group 6,Outer_Section_1,hb-b827eb3f78ba,2_1 LED 4,370.3808,50.82507,258.3795,16
Group 6,Outer_Section_1,hb-b827eb3f78ba,2_1 Speaker 1,379.8974,115.6251,260.7528,16
Group 6,Outer_Section_1,hb-b827eb3f78ba,2_1 Speaker 2,403.6841,190.1251,267.414,16
Group 6,Outer_Section_2,hb-b827ebe2c8c7,2_1 LED 1,404.7867,170.5251,310.3842,16
Group 6,Outer_Section_2,hb-b827ebe2c8c7,2_1 LED 2,398.5676,139.5251,306.9532,16
Group 6,Outer_Section_2,hb-b827ebe2c8c7,2_1 LED 3,381.8574,105.6251,298.3388,16
Group 6,Outer_Section_2,hb-b827ebe2c8c7,2_1 LED 4,359.1836,54.22507,287.3252,16
Group 6,Outer_Section_2,hb-b827ebe2c8c7,2_1 Speaker 1,368.4331,85.7251,291.6434,16
Group 6,Outer_Section_2,hb-b827ebe2c8c7,2_1 Speaker 2,390.1694,147.5251,302.5113,16
Group 6,Inner_Section,hb-b827eb157973,2_1 LED 1,330.7626,69.80005,273.0033,16
Group 6,Inner_Section,hb-b827eb157973,2_1 LED 2,300.218,49.80002,238.4119,16
Group 6,Inner_Section,hb-b827eb157973,2_1 LED 3,339.8558,15.00006,249.8352,16
Group 6,Inner_Section,hb-b827eb157973,2_1 LED 4,293.9528,10.90002,254.9466,16
Group 6,Inner_Section,hb-b827eb157973,2_1 Speaker 1,307.5276,31.90002,250.9411,16
Group 6,Inner_Section,hb-b827eb157973,2_1 Speaker 2,325.462,58.60004,259.793,16
Group 7,Outer_Section_1,hb-b827ebf5c5b1,2_1 LED 1,384.5954,175.325,342.9153,16
Group 7,Outer_Section_1,hb-b827ebf5c5b1,2_1 LED 2,379.0856,147.325,338.4329,16
Group 7,Outer_Section_1,hb-b827ebf5c5b1,2_1 LED 3,364.1739,65.72501,326.9838,16
Group 7,Outer_Section_1,hb-b827ebf5c5b1,2_1 LED 4,343.8204,93.02502,312.1132,16
Group 7,Outer_Section_1,hb-b827ebf5c5b1,2_1 Speaker 1,351.8372,106.525,317.764,16
Group 7,Outer_Section_1,hb-b827ebf5c5b1,2_1 Speaker 2,371.6113,170.425,332.5681,16
Group 7,Outer_Section_2,hb-b827ebc1a776,2_1 LED 1,357.117,192.225,373.035,16
Group 7,Outer_Section_2,hb-b827ebc1a776,2_1 LED 2,352.5573,85.72498,367.5891,16
Group 7,Outer_Section_2,hb-b827ebc1a776,2_1 LED 3,340.0872,124.325,353.52,16
Group 7,Outer_Section_2,hb-b827ebc1a776,2_1 LED 4,322.923,37.52502,335.0594,16
Group 7,Outer_Section_2,hb-b827ebc1a776,2_1 Speaker 1,329.988,85.72498,342.4274,16
Group 7,Outer_Section_2,hb-b827ebc1a776,2_1 Speaker 2,346.3307,151.825,360.4134,16
Group 7,Inner_Section,hb-b827ebf44385,2_1 LED 1,301.5948,77,311.4379,16
Group 7,Inner_Section,hb-b827ebf44385,2_1 LED 2,285.6085,27.89999,268.1484,16
Group 7,Inner_Section,hb-b827ebf44385,2_1 LED 3,318.4432,34.60001,293.119,16
Group 7,Inner_Section,hb-b827ebf44385,2_1 LED 4,273.7934,0,281.3033,16
Group 7,Inner_Section,hb-b827ebf44385,2_1 Speaker 1,287.8985,21.20001,282.472,16
Group 7,Inner_Section,hb-b827ebf44385,2_1 Speaker 2,301.4242,40.70001,297.2048,16
Group 8,Outer_Section_1,hb-b827eb447415,2_1 LED 1,326.5367,149.2251,396.0762,16
Group 8,Outer_Section_1,hb-b827eb447415,2_1 LED 2,323.0183,98.7251,389.9061,16
Group 8,Outer_Section_1,hb-b827eb447415,2_1 LED 3,313.2494,106.925,373.8434,16
Group 8,Outer_Section_1,hb-b827eb447415,2_1 LED 4,299.6424,50.82501,352.6244,16
Group 8,Outer_Section_1,hb-b827eb447415,2_1 Speaker 1,305.0764,115.6251,360.7896,16
Group 8,Outer_Section_1,hb-b827eb447415,2_1 Speaker 2,318.1673,190.1251,381.7373,16
Group 8,Outer_Section_2,hb-b827eb43108f,2_1 LED 1,290.0333,170.525,414.2355,16
Group 8,Outer_Section_2,hb-b827eb43108f,2_1 LED 2,287.7488,139.525,407.5101,16
Group 8,Outer_Section_2,hb-b827eb43108f,2_1 LED 3,281.2032,105.6251,389.8864,16
Group 8,Outer_Section_2,hb-b827eb43108f,2_1 LED 4,271.8669,54.22504,366.472,16
Group 8,Outer_Section_2,hb-b827eb43108f,2_1 Speaker 1,275.7932,85.72504,375.8946,16
Group 8,Outer_Section_2,hb-b827eb43108f,2_1 Speaker 2,284.5349,147.525,398.5697,16
Group 8,Inner_Section,hb-b827eb3db390,2_1 LED 1,260.5121,69.79999,336.7409,16
Group 8,Inner_Section,hb-b827eb3db390,2_1 LED 2,261.2435,49.79999,290.5998,16
Group 8,Inner_Section,hb-b827eb3db390,2_1 LED 3,282.8404,15.00003,325.7455,16
Group 8,Inner_Section,hb-b827eb3db390,2_1 LED 4,245.4741,10.89999,298.5982,16
Group 8,Inner_Section,hb-b827eb3db390,2_1 Speaker 1,258.2045,31.89999,304.7834,16
Group 8,Inner_Section,hb-b827eb3db390,2_1 Speaker 2,265.4947,58.60001,323.4073,16
Group 9,Outer_Section_1,hb-b827eb7a50ea,2_1 LED 1,253.1957,175.3251,424.6734,16
Group 9,Outer_Section_1,hb-b827eb7a50ea,2_1 LED 2,252.1437,147.3251,417.6489,16
Group 9,Outer_Section_1,hb-b827eb7a50ea,2_1 LED 3,248.837,65.7251,399.142,16
Group 9,Outer_Section_1,hb-b827eb7a50ea,2_1 LED 4,243.8139,93.02509,374.4404,16
Group 9,Outer_Section_1,hb-b827eb7a50ea,2_1 Speaker 1,245.9314,106.5251,384.0173,16
Group 9,Outer_Section_1,hb-b827eb7a50ea,2_1 Speaker 2,250.5712,170.4251,408.2794,16
Group 9,Outer_Section_2,hb-b827eba6e374,2_1 LED 1,212.5974,192.2251,428.42,16
Group 9,Outer_Section_2,hb-b827eba6e374,2_1 LED 2,212.8966,85.7251,421.3235,16
Group 9,Outer_Section_2,hb-b827eba6e374,2_1 LED 3,213.1594,124.3251,402.5254,16
Group 9,Outer_Section_2,hb-b827eba6e374,2_1 LED 4,212.9117,37.52512,377.3195,16
Group 9,Outer_Section_2,hb-b827eba6e374,2_1 Speaker 1,213.1691,85.7251,387.524,16
Group 9,Outer_Section_2,hb-b827eba6e374,2_1 Speaker 2,213.1294,151.8251,411.8259,16
Group 9,Inner_Section,hb-b827eb6aeb0f,2_1 LED 1,213.0637,77.00012,345.4942,16
Group 9,Inner_Section,hb-b827eb6aeb0f,2_1 LED 2,230.4136,27.90009,302.733,16
Group 9,Inner_Section,hb-b827eb6aeb0f,2_1 LED 3,237.8562,34.6001,343.3071,16
Group 9,Inner_Section,hb-b827eb6aeb0f,2_1 LED 4,212.8197,9.16E-05,304.4948,16
Group 9,Inner_Section,hb-b827eb6aeb0f,2_1 Speaker 1,222.4562,21.2001,314.861,16
Group 9,Inner_Section,hb-b827eb6aeb0f,2_1 Speaker 2,222.5264,40.7001,334.8609,16
Group 10,Outer_Section_1,hb-b827eb1cae1b,2_1 LED 1,174.4755,149.2252,424.8459,16
Group 10,Outer_Section_1,hb-b827eb1cae1b,2_1 LED 2,176.0322,98.72516,417.9158,16
Group 10,Outer_Section_1,hb-b827eb1cae1b,2_1 LED 3,179.6342,106.9252,399.4641,16
Group 10,Outer_Section_1,hb-b827eb1cae1b,2_1 LED 4,183.8737,50.82513,374.616,16
Group 10,Outer_Section_1,hb-b827eb1cae1b,2_1 Speaker 1,182.3886,115.6251,384.311,16
Group 10,Outer_Section_1,hb-b827eb1cae1b,2_1 Speaker 2,177.9505,190.1251,408.6109,16
Group 10,Outer_Section_2,hb-b827ebdae5ec,2_1 LED 1,135.2653,170.5251,413.6736,16
Group 10,Outer_Section_2,hb-b827ebdae5ec,2_1 LED 2,138.1079,139.5251,407.1644,16
Group 10,Outer_Section_2,hb-b827ebdae5ec,2_1 LED 3,145.1437,105.6251,389.7306,16
Group 10,Outer_Section_2,hb-b827ebdae5ec,2_1 LED 4,154.0182,54.22513,366.1374,16
Group 10,Outer_Section_2,hb-b827ebdae5ec,2_1 Speaker 1,150.5719,85.72516,375.7458,16
Group 10,Outer_Section_2,hb-b827ebdae5ec,2_1 Speaker 2,141.756,147.5251,398.3922,16
Group 10,Inner_Section,hb-b827eb76224b,2_1 LED 1,165.6567,69.80011,336.5161,16
Group 10,Inner_Section,hb-b827eb76224b,2_1 LED 2,197.2823,49.80008,302.9101,16
Group 10,Inner_Section,hb-b827eb76224b,2_1 LED 3,189.565,15.00012,343.4329,16
Group 10,Inner_Section,hb-b827eb76224b,2_1 LED 4,180.24,10.90009,298.1972,16
Group 10,Inner_Section,hb-b827eb76224b,2_1 Speaker 1,185.481,31.90009,311.3445,16
Group 10,Inner_Section,hb-b827eb76224b,2_1 Speaker 2,178.3216,58.6001,330.0192,16
Group 11,Outer_Section_1,hb-b827ebc7bb68,2_1 LED 1,101.01,175.325,396.57,16
Group 11,Outer_Section_1,hb-b827ebc7bb68,2_1 LED 2,104.9649,147.325,390.6701,16
Group 11,Outer_Section_1,hb-b827ebc7bb68,2_1 LED 3,114.9893,65.72504,374.7657,16
Group 11,Outer_Section_1,hb-b827ebc7bb68,2_1 LED 4,127.9185,93.02502,353.1269,16
Group 11,Outer_Section_1,hb-b827ebc7bb68,2_1 Speaker 1,123.0314,106.525,361.6308,16
Group 11,Outer_Section_1,hb-b827ebc7bb68,2_1 Speaker 2,110.115,170.425,382.6866,16
Group 11,Outer_Section_2,hb-b827eb62603d,2_1 LED 1,68.48337,192.225,371.9879,16
Group 11,Outer_Section_2,hb-b827eb62603d,2_1 LED 2,73.48541,85.72504,366.9451,16
Group 11,Outer_Section_2,hb-b827eb62603d,2_1 LED 3,86.34384,124.325,353.2301,16
Group 11,Outer_Section_2,hb-b827eb62603d,2_1 LED 4,103.1419,37.52505,334.4359,16
Group 11,Outer_Section_2,hb-b827eb62603d,2_1 Speaker 1,96.45734,85.72504,342.1505,16
Group 11,Outer_Section_2,hb-b827eb62603d,2_1 Speaker 2,80.05595,151.8251,360.0831,16
Group 11,Inner_Section,hb-b827eb4a7fdf,2_1 LED 1,124.6948,77,311.0191,16
Group 11,Inner_Section,hb-b827eb4a7fdf,2_1 LED 2,166.3246,27.90002,291.1067,16
Group 11,Inner_Section,hb-b827eb4a7fdf,2_1 LED 3,144.4901,34.60004,326.1054,16
Group 11,Inner_Section,hb-b827eb4a7fdf,2_1 LED 4,152.1356,3.05E-05,280.5558,16
Group 11,Inner_Section,hb-b827eb4a7fdf,2_1 Speaker 1,152.2734,21.20004,294.7086,16
Group 11,Inner_Section,hb-b827eb4a7fdf,2_1 Speaker 2,138.8514,40.70004,309.5359,16
Group 12,Outer_Section_1,hb-b827ebd97be3,2_1 LED 1,42.71893,149.2251,343.664,16
Group 12,Outer_Section_1,hb-b827ebd97be3,2_1 LED 2,48.53809,98.7251,339.5913,16
Group 12,Outer_Section_1,hb-b827ebd97be3,2_1 LED 3,63.63089,106.9251,328.382,16
Group 12,Outer_Section_1,hb-b827ebd97be3,2_1 LED 4,83.50388,50.82507,312.8752,16
Group 12,Outer_Section_1,hb-b827ebd97be3,2_1 Speaker 1,75.87488,115.6251,319.0394,16
Group 12,Outer_Section_1,hb-b827ebd97be3,2_1 Speaker 2,56.22443,190.1251,334.0073,16
Group 12,Outer_Section_2,hb-b827eb72954d,2_1 LED 1,21.26898,170.5251,308.9918,16
Group 12,Outer_Section_2,hb-b827eb72954d,2_1 LED 2,27.75488,139.5251,306.0966,16
Group 12,Outer_Section_2,hb-b827eb72954d,2_1 LED 3,44.69946,105.6251,297.9528,16
Group 12,Outer_Section_2,hb-b827eb72954d,2_1 LED 4,67.15248,54.2251,286.4959,16
Group 12,Outer_Section_2,hb-b827eb72954d,2_1 Speaker 1,58.13242,85.7251,291.2748,16
Group 12,Outer_Section_2,hb-b827eb72954d,2_1 Speaker 2,36.36063,147.5251,302.0715,16
Group 12,Inner_Section,hb-b827eb38ff1d,2_1 LED 1,95.70912,69.80005,272.4463,16
Group 12,Inner_Section,hb-b827eb38ff1d,2_1 LED 2,141.7209,49.80002,268.9171,16
Group 12,Inner_Section,hb-b827eb38ff1d,2_1 LED 3,108.7178,15.00006,293.6648,16
Group 12,Inner_Section,hb-b827eb38ff1d,2_1 LED 4,132.3015,10.90002,253.953,16
Group 12,Inner_Section,hb-b827eb38ff1d,2_1 Speaker 1,127.3174,31.90002,267.1998,16
Group 12,Inner_Section,hb-b827eb38ff1d,2_1 Speaker 2,109.4455,58.60004,276.1774,16
Group 13,Outer_Section_1,hb-b827eb2132dc,2_1 LED 1,7.476563,175.3251,273.2745,16
Group 13,Outer_Section_1,hb-b827eb2132dc,2_1 LED 2,14.37402,147.3251,271.5789,16
Group 13,Outer_Section_1,hb-b827eb2132dc,2_1 LED 3,32.49689,65.72507,266.5787,16
Group 13,Outer_Section_1,hb-b827eb2132dc,2_1 LED 4,56.62964,93.02509,259.2978,16
Group 13,Outer_Section_1,hb-b827eb2132dc,2_1 Speaker 1,47.289,106.5251,262.2899,16
Group 13,Outer_Section_1,hb-b827eb2132dc,2_1 Speaker 2,23.55844,170.425,269.1486,16
Group 13,Outer_Section_2,hb-b827eb496f53,2_1 LED 1,0,192.2251,233.1951,16
Group 13,Outer_Section_2,hb-b827eb496f53,2_1 LED 2,7.093811,85.7251,232.8383,16
Group 13,Outer_Section_2,hb-b827eb496f53,2_1 LED 3,25.83603,124.3251,231.3654,16
Group 13,Outer_Section_2,hb-b827eb496f53,2_1 LED 4,50.91159,37.52509,228.7931,16
Group 13,Outer_Section_2,hb-b827eb496f53,2_1 Speaker 1,40.77429,85.7251,229.9909,16
Group 13,Outer_Section_2,hb-b827eb496f53,2_1 Speaker 2,16.57245,151.8251,232.1937,16
Group 13,Inner_Section,hb-b827eb9b441c,2_1 LED 1,82.61516,77.00006,226.0079,16
Group 13,Inner_Section,hb-b827eb9b441c,2_1 LED 2,126.7948,27.90005,239.3383,16
Group 13,Inner_Section,hb-b827eb9b441c,2_1 LED 3,87.08049,34.60007,250.4929,16
Group 13,Inner_Section,hb-b827eb9b441c,2_1 LED 4,123.4171,6.10E-05,221.9821,16
Group 13,Inner_Section,hb-b827eb9b441c,2_1 Speaker 1,113.9843,21.20007,232.5339,16
Group 13,Inner_Section,hb-b827eb9b441c,2_1 Speaker 2,94.07622,40.70007,234.4492,16
Group 14,Outer_Section_1,hb-b827eb0bfadb,2_1 LED 1,0.04147339,149.2251,194.9061,16
Group 14,Outer_Section_1,hb-b827eb0bfadb,2_1 LED 2,7.085632,98.7251,195.8166,16
Group 14,Outer_Section_1,hb-b827eb0bfadb,2_1 LED 3,25.79102,106.925,197.7008,16
Group 14,Outer_Section_1,hb-b827eb0bfadb,2_1 LED 4,50.92422,50.82507,199.6295,16
Group 14,Outer_Section_1,hb-b827eb0bfadb,2_1 Speaker 1,41.13351,115.6251,199.0452,16
Group 14,Outer_Section_1,hb-b827eb0bfadb,2_1 Speaker 2,16.52786,190.1251,196.8682,16
Group 14,Outer_Section_2,hb-b827eb06891c,2_1 LED 1,7.548248,170.5251,154.8322,16
Group 14,Outer_Section_2,hb-b827eb06891c,2_1 LED 2,14.29193,139.5251,157.0621,16
Group 14,Outer_Section_2,hb-b827eb06891c,2_1 LED 3,32.30054,105.6251,162.4593,16
Group 14,Outer_Section_2,hb-b827eb06891c,2_1 LED 4,56.612,54.22507,169.1191,16
Group 14,Outer_Section_2,hb-b827eb06891c,2_1 Speaker 1,46.72653,85.7251,166.574,16
Group 14,Outer_Section_2,hb-b827eb06891c,2_1 Speaker 2,23.36334,147.5251,159.8852,16
Group 14,Inner_Section,hb-b827ebdfa72c,2_1 LED 1,87.18076,69.80005,177.9748,16
Group 14,Inner_Section,hb-b827ebdfa72c,2_1 LED 2,123.5615,49.80002,206.3646,16
Group 14,Inner_Section,hb-b827ebdfa72c,2_1 LED 3,82.49948,15.00006,202.4193,16
Group 14,Inner_Section,hb-b827ebdfa72c,2_1 LED 4,126.6817,10.90002,188.9602,16
Group 14,Inner_Section,hb-b827ebdfa72c,2_1 Speaker 1,114.0741,31.90002,195.3919,16
Group 14,Inner_Section,hb-b827ebdfa72c,2_1 Speaker 2,94.81851,58.60004,189.9862,16
Group 15,Outer_Section_1,hb-b827eb814557,2_1 LED 1,21.41821,175.325,119.1449,16
Group 15,Outer_Section_1,hb-b827eb814557,2_1 LED 2,27.65781,147.325,122.5387,16
Group 15,Outer_Section_1,hb-b827eb814557,2_1 LED 3,44.41937,65.72504,131.0527,16
Group 15,Outer_Section_1,hb-b827eb814557,2_1 LED 4,67.15878,93.02502,141.9302,16
Group 15,Outer_Section_1,hb-b827eb814557,2_1 Speaker 1,58.24023,106.525,137.8487,16
Group 15,Outer_Section_1,hb-b827eb814557,2_1 Speaker 2,36.08246,170.425,126.9301,16
Group 15,Outer_Section_2,hb-b827eb8dce19,2_1 LED 1,42.89426,192.225,84.48892,16
Group 15,Outer_Section_2,hb-b827eb8dce19,2_1 LED 2,48.37704,85.72504,89.00433,16
Group 15,Outer_Section_2,hb-b827eb8dce19,2_1 LED 3,63.21996,124.325,100.5424,16
Group 15,Outer_Section_2,hb-b827eb8dce19,2_1 LED 4,83.48398,37.52505,115.5348,16
Group 15,Outer_Section_2,hb-b827eb8dce19,2_1 Speaker 1,75.18542,85.72504,109.5905,16
Group 15,Outer_Section_2,hb-b827eb8dce19,2_1 Speaker 2,55.81607,151.8251,94.9137,16
Group 15,Inner_Section,hb-b827eb62e221,2_1 LED 1,108.7895,77,134.8351,16
Group 15,Inner_Section,hb-b827eb62e221,2_1 LED 2,132.4581,27.90002,174.45,16
Group 15,Inner_Section,hb-b827eb62e221,2_1 LED 3,95.59407,34.60004,155.9379,16
Group 15,Inner_Section,hb-b827eb62e221,2_1 LED 4,141.6548,3.05E-05,159.348,16
Group 15,Inner_Section,hb-b827eb62e221,2_1 Speaker 1,127.5751,21.20004,160.791,16
